delegate,name,avg_voting_power,fatigue_score,trend,participation_30d,burnout_detected,site,tally,x
0xb4c064f466931B8d0F637654c916E3F203c46f13,Entropy Advisors,19032218,55.0,declining,0.25,FALSE,https://entropyadvisors.com/,https://www.tally.xyz/gov/arbitrum/delegate/0xb4c064f466931b8d0f637654c916e3f203c46f13,https://x.com/EntropyAdvisors
0x7a45eE0be5C4BdC938A5F00A2AEF393f46502D26,LobbyFi,16163069,100.0,declining,0.0,TRUE,lobbyfi.xyz,https://www.tally.xyz/gov/arbitrum/delegate/0x7a45ee0be5c4bdc938a5f00a2aef393f46502d26,https://x.com/lobbyfinance
0x1B686eE8E31c5959D9F5BBd8122a58682788eeaD,,16077953,54.0,declining,0.5,FALSE,,,
0x11cd09a0c5B1dc674615783b0772a9bFD53e3A8F,,14754884,54.0,declining,0.5,FALSE,,,
0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,,12158461,58.0,declining,0.5,FALSE,,,
0x2ef27b114917dD53f8633440A7C0328fef132e2F,,11251066,91.0,declining,0.25,FALSE,,,
0xF4B0556B9B6F53E00A1FDD2b0478Ce841991D8fA,,10668715,57.0,declining,0.75,FALSE,,,
0x56721131d21a170fBb084734DcC399A278234298,,10032832,100.0,declining,0.0,FALSE,,,
0x5663D01D8109DDFC8aACf09fBE51F2d341bb3643,,9734693,100.0,declining,0.25,TRUE,,,
0xA5dF0cf3F95C6cd97d998b9D990a86864095d9b0,,9355999,54.0,declining,0.0,FALSE,,,
0x2e3BEf6830Ae84bb4225D318F9f61B6b88C147bF,,8522924,53.0,declining,0.5,FALSE,,,
0x183D275AC4A046d549aD4dc89c41bff49D632Fa3,,8002977,54.0,declining,0.5,FALSE,,,
0xF92F185AbD9E00F56cb11B0b709029633d1E37B4,,7635084,100.0,declining,0.25,TRUE,,,
0xdb5781a835b60110298fF7205D8ef9678Ff1f800,,6752890,83.0,declining,0.0,FALSE,,,
0x8F73bE66CA8c79382f72139be03746343Bf5Faa0,,6339336,96.0,stable,0.0,FALSE,,,
0xb5B069370Ef24BC67F114e185D185063CE3479f8,,5935399,55.0,declining,0.25,FALSE,,,
0x8b37a5Af68D315cf5A64097D96621F64b5502a22,,5226915,67.0,declining,0.5,FALSE,,,
0x4fD86a688F36ADA5D6B7eb76BB88e570C9DEec86,,5115646,54.0,declining,0.5,FALSE,,,
0x0eB5B03c0303f2F47cD81d7BE4275AF8Ed347576,,4178604,100.0,stable,0.5,FALSE,,,
0x0edB976Ce9b3b08C7E0a20a89BF1bCE0e5f99356,,4166292,54.0,declining,0.5,FALSE,,,
0xa6e8772af29b29B9202a073f8E36f447689BEef6,,3835298,100.0,declining,0.25,TRUE,,,
0x839395e20bbB182fa440d08F850E6c7A8f6F0780,,3631018,54.0,declining,0.5,FALSE,,,
0x79C4213a328E3B4F1D87b4953C14759399dB25E2,,3516790,100.0,stable,0.25,FALSE,,,
0xd333Bc5c9670C9cEb18f9A2CF02C6E86807a8227,,3294643,68.0,declining,0.5,FALSE,,,
0xb29A655f3D67B2B6724Fb22B2C2303cB660c946B,,3215194,55.0,declining,0.5,FALSE,,,
0x3070FeEAfD678751c29171Bacd0042Fb370DEE00,,3096136,100.0,stable,0.25,FALSE,,,
0xa9e777D56C0Ad861f6a03967E080e767ad8D39b6,,2754908,54.0,declining,0.0,FALSE,,,
0xAbAbE91A907fAdff921720C43ABe4098e7245E99,,2699880,100.0,declining,0.25,TRUE,,,
0xBA875DED061896896654f87E3B0bb908232cd4ea,,2372514,100.0,stable,0.0,FALSE,,,
0x9cea5Ea0AA477d1e66B5E056Ab5A30E017AbA0F6,,2000010,68.0,declining,0.0,FALSE,,,
0x583E3EDc26E1B8620341bce90547197bfE2c1ddD,,1987202,56.0,declining,0.5,FALSE,,,
0x18BF1a97744539a348304E9d266aAc7d446a1582,,1954114,100.0,declining,0.0,TRUE,,,
0x8326D18edfC50B4335113C33b25116ec268FF3fE,,1365336,54.0,declining,0.5,FALSE,,,
0x7B0befc5B043148Cd7bD5cFeEEf7BC63D28edEC0,,1294286,100.0,stable,0.5,FALSE,,,
0xBbE98D590d7eB99F4a236587f2441826396053d3,,1176378,100.0,declining,0.0,FALSE,,,
0x539629494be6b004d33d290E6243806750A3A2f4,,841026,53.0,declining,0.5,FALSE,,,
0x5a35923eD6950EFF4412eF6d27CeA8b1d405a844,,792627,98.0,declining,0.0,TRUE,,,
0x4F685B29514eed0c9D929386E86D9cd81981118B,,759122,82.0,declining,0.75,FALSE,,,
0xaE79f0562C2128cC12d0ac068aC288856Fe0e1AB,,743105,100.0,stable,0.0,FALSE,,,
0x9D64c41eC3a1f49952dE2E16EBB0723022f75008,,602027,54.0,declining,0.0,FALSE,,,
0xA7860E99e3ce0752D1ac53b974E309fFf80277C6,,600347,100.0,declining,0.0,FALSE,,,
0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,,514168,68.0,declining,0.0,FALSE,,,
0x3D1846ea60001A3Bc21438d76f3958422fe89adB,,373415,100.0,declining,0.0,TRUE,,,
0x010DC5440ad49f9Ec0Dd325b622d9FD225944ee4,,351351,100.0,declining,0.25,TRUE,,,
0x5162728cc4D7D111400056925A1b3DF82308bEE0,,319116,56.0,declining,0.5,FALSE,,,
0xf9551c66995eD3Ff9bb05C9Fd7ff148Bd75dc99a,,271099,100.0,declining,0.0,TRUE,,,
0xE93D59CC0bcECFD4ac204827eF67c5266079E2b5,,242889,61.0,declining,0.5,FALSE,,,
0xb35659cbac913D5E4119F2Af47fD490A45e2c826,,227021,54.0,declining,0.5,FALSE,,,
0xE594469fDe6AE29943a64f81d95c20F5F8eB2e04,,225867,53.0,declining,0.25,FALSE,,,
0x714D8b5874b3a6a69f289f4e857F4C9670074296,,212118,55.0,declining,0.25,FALSE,,,
0x2D7d6Ec6198ADFD5850D00BD601958F6E316b05E,,198104,74.0,declining,0.75,FALSE,,,
0xea172676E4105e92Cc52DBf45fD93b274eC96676,,185182,53.0,declining,0.5,FALSE,,,
0xfA0142fEBf46e3F1E33a1c03922c365f882725Ca,,172709,90.0,declining,0.5,FALSE,,,
0xa0BFD02a7a47CBCA7230E03fbf04A196C3E771E3,,159865,100.0,declining,0.0,FALSE,,,
0xC0C38e9601EBe707279727Bf6292f67e719a475d,,154390,100.0,declining,0.0,TRUE,,,
0xCE8Ab0464957EAB5635344A62FAb9Bf5a3FF8cA3,,150008,100.0,declining,0.0,TRUE,,,
